StockTicker,TradeDate
BPTH,1/1/2019 12:00:00 AM
PACB,1/1/2019 12:00:00 AM
ZEAL,1/1/2019 12:00:00 AM
PGNX,1/1/2019 12:00:00 AM
NSTG,1/1/2019 12:00:00 AM
AUPH,1/1/2019 12:00:00 AM
GNMX,1/1/2019 12:00:00 AM
ICPT,1/1/2019 12:00:00 AM
RCEL,1/1/2019 12:00:00 AM
UTHR,1/1/2019 12:00:00 AM
OGEN,1/1/2019 12:00:00 AM
BGNE,1/1/2019 12:00:00 AM
ACAD,1/1/2019 12:00:00 AM
ACOR,1/1/2019 12:00:00 AM
EXEL,1/1/2019 12:00:00 AM
CDMO,1/1/2019 12:00:00 AM
JNCE,1/1/2019 12:00:00 AM
ALT,1/1/2019 12:00:00 AM
CNAT,1/1/2019 12:00:00 AM
ZIOP,1/1/2019 12:00:00 AM
MRUS,1/1/2019 12:00:00 AM
RAPT,1/1/2019 12:00:00 AM
APTO,1/1/2019 12:00:00 AM
KPTI,1/1/2019 12:00:00 AM
DNLI,1/1/2019 12:00:00 AM
CONN,1/1/2019 12:00:00 AM
ALLO,1/1/2019 12:00:00 AM
MTEM,1/1/2019 12:00:00 AM
IMMU,1/1/2019 12:00:00 AM
AMRN,1/1/2019 12:00:00 AM
RUBY,1/1/2019 12:00:00 AM
VCEL,1/1/2019 12:00:00 AM
GBT,1/1/2019 12:00:00 AM
CDXS,1/1/2019 12:00:00 AM
ISR,1/1/2019 12:00:00 AM
IGC,1/1/2019 12:00:00 AM
URGN,1/1/2019 12:00:00 AM
EXAS,1/1/2019 12:00:00 AM
CCXI,1/1/2019 12:00:00 AM
HCHC,1/1/2019 12:00:00 AM
BMRN,1/1/2019 12:00:00 AM
MGTA,1/1/2019 12:00:00 AM
BPMC,1/1/2019 12:00:00 AM
ALXN,1/1/2019 12:00:00 AM
ASMB,1/1/2019 12:00:00 AM
VTVT,1/1/2019 12:00:00 AM
SLDB,1/1/2019 12:00:00 AM
HARP,1/1/2019 12:00:00 AM
SYN,1/1/2019 12:00:00 AM
OCGN,1/1/2019 12:00:00 AM
RGNX,1/1/2019 12:00:00 AM
NTLA,1/1/2019 12:00:00 AM
ARNA,1/1/2019 12:00:00 AM
MTP,1/1/2019 12:00:00 AM
CODX,1/1/2019 12:00:00 AM
FLXN,1/1/2019 12:00:00 AM
SMMT,1/1/2019 12:00:00 AM
AEZS,1/1/2019 12:00:00 AM
ESPR,1/1/2019 12:00:00 AM
FGEN,1/1/2019 12:00:00 AM
GLYC,1/1/2019 12:00:00 AM
MYOV,1/1/2019 12:00:00 AM
AIMT,1/1/2019 12:00:00 AM
PBYI,1/1/2019 12:00:00 AM
RCKT,1/1/2019 12:00:00 AM
SRPT,1/1/2019 12:00:00 AM
LPCN,1/1/2019 12:00:00 AM
INMB,1/1/2019 12:00:00 AM
BLUE,1/1/2019 12:00:00 AM
HRTX,1/1/2019 12:00:00 AM
CANF,1/1/2019 12:00:00 AM
MRNA,1/1/2019 12:00:00 AM
AQB,1/1/2019 12:00:00 AM
VXRT,1/1/2019 12:00:00 AM
BLU,1/1/2019 12:00:00 AM
NBY,1/1/2019 12:00:00 AM
CRWD,1/1/2019 12:00:00 AM
PHIO,1/1/2019 12:00:00 AM
VSTM,1/1/2019 12:00:00 AM
NVIV,1/1/2019 12:00:00 AM
CALA,1/1/2019 12:00:00 AM
TRIL,1/1/2019 12:00:00 AM
PRPO,1/1/2019 12:00:00 AM
TORC,1/1/2019 12:00:00 AM
CNCE,1/1/2019 12:00:00 AM
ASLN,1/1/2019 12:00:00 AM
NAVB,1/1/2019 12:00:00 AM
INSM,1/1/2019 12:00:00 AM
AVRO,1/1/2019 12:00:00 AM
DVAX,1/1/2019 12:00:00 AM
ATRA,1/1/2019 12:00:00 AM
EVFM,1/1/2019 12:00:00 AM
CLDX,1/1/2019 12:00:00 AM
ADXS,1/1/2019 12:00:00 AM
MCRB,1/1/2019 12:00:00 AM
OMER,1/1/2019 12:00:00 AM
DERM,1/1/2019 12:00:00 AM
CHRS,1/1/2019 12:00:00 AM
SNDX,1/1/2019 12:00:00 AM
TGTX,1/1/2019 12:00:00 AM
PIRS,1/1/2019 12:00:00 AM
RKDA,1/1/2019 12:00:00 AM
ARDX,1/1/2019 12:00:00 AM
CMRX,1/1/2019 12:00:00 AM
FLDM,1/1/2019 12:00:00 AM
AFMD,1/1/2019 12:00:00 AM
LGND,1/1/2019 12:00:00 AM
BCRX,1/1/2019 12:00:00 AM
LJPC,1/1/2019 12:00:00 AM
XXII,1/1/2019 12:00:00 AM
MRSN,1/1/2019 12:00:00 AM
CHMA,1/1/2019 12:00:00 AM
SRRK,1/1/2019 12:00:00 AM
NEPT,1/1/2019 12:00:00 AM
OPNT,1/1/2019 12:00:00 AM
KURA,1/1/2019 12:00:00 AM
KDMN,1/1/2019 12:00:00 AM
CARA,1/1/2019 12:00:00 AM
WIFI,1/1/2019 12:00:00 AM
EARS,1/1/2019 12:00:00 AM
AGLE,1/1/2019 12:00:00 AM
BNGO,1/1/2019 12:00:00 AM
REPL,1/1/2019 12:00:00 AM
TBIO,1/1/2019 12:00:00 AM
SGMO,1/1/2019 12:00:00 AM
CPRX,1/1/2019 12:00:00 AM
BCLI,1/1/2019 12:00:00 AM
FOLD,1/1/2019 12:00:00 AM
MNKD,1/1/2019 12:00:00 AM
ITCI,1/1/2019 12:00:00 AM
MTNB,1/1/2019 12:00:00 AM
DTIL,1/1/2019 12:00:00 AM
ARAV,1/1/2019 12:00:00 AM
TOCA,1/1/2019 12:00:00 AM
CYTK,1/1/2019 12:00:00 AM
SPPI,1/1/2019 12:00:00 AM
WVE,1/1/2019 12:00:00 AM
RTRX,1/1/2019 12:00:00 AM
TTOO,1/1/2019 12:00:00 AM
VYGR,1/1/2019 12:00:00 AM
ELOX,1/1/2019 12:00:00 AM
GALT,1/1/2019 12:00:00 AM
RVNC,1/1/2019 12:00:00 AM
MESO,1/1/2019 12:00:00 AM
UBX,1/1/2019 12:00:00 AM
SNGX,1/1/2019 12:00:00 AM
AKBA,1/1/2019 12:00:00 AM
CTMX,1/1/2019 12:00:00 AM
OPK,1/1/2019 12:00:00 AM
RCUS,1/1/2019 12:00:00 AM
SEEL,1/1/2019 12:00:00 AM
SYRS,1/1/2019 12:00:00 AM
AVEO,1/1/2019 12:00:00 AM
PTGX,1/1/2019 12:00:00 AM
VBLT,1/1/2019 12:00:00 AM
SESN,1/1/2019 12:00:00 AM
CLRB,1/1/2019 12:00:00 AM
INFI,1/1/2019 12:00:00 AM
CFRX,1/1/2019 12:00:00 AM
STML,1/1/2019 12:00:00 AM
FPRX,1/1/2019 12:00:00 AM
CDTX,1/1/2019 12:00:00 AM
GERN,1/1/2019 12:00:00 AM
BTAI,1/1/2019 12:00:00 AM
SVRA,1/1/2019 12:00:00 AM
IMMP,1/1/2019 12:00:00 AM
NERV,1/1/2019 12:00:00 AM
VKTX,1/1/2019 12:00:00 AM
OTIC,1/1/2019 12:00:00 AM
HTGM,1/1/2019 12:00:00 AM
NVAX,1/1/2019 12:00:00 AM
AXGT,1/1/2019 12:00:00 AM
ADMA,1/1/2019 12:00:00 AM
TRVN,1/1/2019 12:00:00 AM
RDHL,1/1/2019 12:00:00 AM
VFF,1/1/2019 12:00:00 AM
AVXL,1/1/2019 12:00:00 AM
ADAP,1/1/2019 12:00:00 AM
ZYNE,1/1/2019 12:00:00 AM
BLCM,1/1/2019 12:00:00 AM
DARE,1/1/2019 12:00:00 AM
APVO,1/1/2019 12:00:00 AM
ONCY,1/1/2019 12:00:00 AM
SRNE,1/1/2019 12:00:00 AM
SBBP,1/1/2019 12:00:00 AM
RIGL,1/1/2019 12:00:00 AM
FBIO,1/1/2019 12:00:00 AM
CBIO,1/1/2019 12:00:00 AM
SYBX,1/1/2019 12:00:00 AM
NDRA,1/1/2019 12:00:00 AM
CRBP,1/1/2019 12:00:00 AM
ATHX,1/1/2019 12:00:00 AM
AGTC,1/1/2019 12:00:00 AM
AIM,1/1/2019 12:00:00 AM
SRRA,1/1/2019 12:00:00 AM
CORV,1/1/2019 12:00:00 AM
PTN,1/1/2019 12:00:00 AM
ADRO,1/1/2019 12:00:00 AM
LPTX,1/1/2019 12:00:00 AM
ALDX,1/1/2019 12:00:00 AM
PRTK,1/1/2019 12:00:00 AM
SPHS,1/1/2019 12:00:00 AM
AZRX,1/1/2019 12:00:00 AM
IDRA,1/1/2019 12:00:00 AM
ONTX,1/1/2019 12:00:00 AM
MGEN,1/1/2019 12:00:00 AM
LCTX,1/1/2019 12:00:00 AM
SELB,1/1/2019 12:00:00 AM
SCYX,1/1/2019 12:00:00 AM
OTLK,1/1/2019 12:00:00 AM
TYME,1/1/2019 12:00:00 AM
GNCA,1/1/2019 12:00:00 AM
SNSS,1/1/2019 12:00:00 AM
NTGN,1/1/2019 12:00:00 AM
